1_DMSO_1	2_DMSO_2	3_Sora_1	4_Sora_2	5_Tram_1	6_Tram_2
ENSG00000253039	0	0	0	0	0	0
ENSG00000229815	0	0	0	0	0	0
ENSG00000232369	1	1	0	1	1	2
ENSG00000268949	1	0	0	0	0	0
ENSG00000126107	1383	1543	1639	2034	1775	1538
ENSG00000126088	1033	1108	1045	1257	1193	1196
ENSG00000162415	128	189	200	224	240	191
ENSG00000264650	1	0	0	1	2	0
ENSG00000234315	0	0	0	0	0	0
ENSG00000221707	0	0	0	0	0	0
ENSG00000186603	537	605	359	501	656	646
ENSG00000132781	298	311	375	432	371	341
ENSG00000132773	545	714	410	476	602	584
ENSG00000070759	133	119	173	245	153	140
ENSG00000238945	0	0	0	0	0	0
ENSG00000236872	0	2	0	1	0	0
ENSG00000236624	105	96	183	179	125	121
ENSG00000132763	508	622	406	546	632	612
ENSG00000117450	13517	14591	13081	16546	15222	13299
ENSG00000234379	1	0	0	2	0	1
ENSG00000117448	2023	1998	2226	2557	2270	2035
ENSG00000132780	4501	4951	4022	4712	5411	5054
ENSG00000159588	15	9	12	8	17	14
ENSG00000159592	5060	5419	4981	5925	5785	4882
ENSG00000225447	4	2	1	3	2	3
ENSG00000234329	7	7	11	14	11	10
ENSG00000159596	979	1129	900	1051	1089	1102
ENSG00000197429	470	463	623	709	612	464
ENSG00000230896	45	59	55	59	53	41
ENSG00000236111	12	8	10	7	5	6
ENSG00000086015	2560	2608	2668	3274	3122	2854
ENSG00000232467	0	1	0	0	0	0
ENSG00000117461	745	882	1719	2062	1365	1344
ENSG00000226957	0	0	1	0	0	2
ENSG00000233114	0	0	0	0	0	0
ENSG00000227857	1	3	6	3	6	3
ENSG00000117472	2851	3071	3300	4324	3886	2438
ENSG00000250719	0	0	0	1	0	0
ENSG00000085998	1785	1908	1232	1648	1710	1633
ENSG00000171357	0	0	0	1	0	0
ENSG00000085999	758	814	825	990	946	959
ENSG00000132128	1199	1206	1273	1604	1387	1264
ENSG00000173660	4654	4661	4499	5401	5081	4697
ENSG00000117481	938	1006	757	932	999	972
ENSG00000225779	1	1	1	0	0	2
ENSG00000117480	588	577	657	792	728	650
ENSG00000232022	4	3	9	8	3	5
ENSG00000224863	1	0	0	0	1	3
ENSG00000225667	0	0	0	1	0	2
ENSG00000197587	104	85	188	227	158	113
ENSG00000269956	0	4	1	1	4	1
ENSG00000162456	0	0	2	0	0	0
ENSG00000079277	485	521	527	595	610	518
ENSG00000142961	602	536	502	513	648	556
ENSG00000123472	798	851	755	954	923	878
ENSG00000159658	4603	4711	4818	5649	5667	4829
ENSG00000233647	0	0	0	0	0	0
ENSG00000186118	0	1	1	0	1	1
ENSG00000228237	3	0	0	1	0	1
ENSG00000236476	0	0	0	0	0	0
ENSG00000142973	0	0	0	0	0	0
ENSG00000154198	1	0	0	0	1	1
ENSG00000238145	0	0	0	0	0	1
ENSG00000187048	0	0	0	0	0	0
ENSG00000186377	2	0	0	0	0	0
ENSG00000259832	0	0	0	0	0	0
ENSG00000261196	0	0	0	0	0	0
ENSG00000261593	0	0	0	0	0	0
ENSG00000261290	0	0	0	0	0	0
ENSG00000186160	0	0	0	1	0	0
ENSG00000225154	0	1	0	0	0	0
ENSG00000225506	3	3	5	3	2	3
ENSG00000162365	0	0	0	0	0	1
ENSG00000225514	0	1	0	0	0	0
ENSG00000224805	4	8	5	7	3	8
ENSG00000162366	29	24	38	53	40	25
ENSG00000162367	0	0	1	1	0	0
ENSG00000226252	2	0	0	0	0	0
ENSG00000123473	1219	1411	1380	1679	1454	1468
ENSG00000162368	7731	8134	8108	9325	9832	7673
ENSG00000225762	3	2	6	5	6	4
ENSG00000186790	1	1	0	3	2	3
ENSG00000237424	38	45	67	51	58	52
ENSG00000186564	29	34	35	33	36	29
ENSG00000271355	0	0	0	0	0	0
ENSG00000229554	0	0	0	0	0	0
ENSG00000221346	0	0	0	0	0	0
ENSG00000227883	0	0	0	0	0	0
ENSG00000221447	0	0	0	0	0	0
ENSG00000227947	0	0	0	0	1	0
ENSG00000269113	4	3	3	5	5	5
ENSG00000223814	0	0	0	0	0	0
ENSG00000273395	0	0	0	0	0	0
ENSG00000225028	0	0	0	0	0	0
ENSG00000226133	0	0	0	0	0	0
ENSG00000231413	0	0	0	0	0	0
ENSG00000237180	0	0	0	0	0	0
ENSG00000242267	0	0	0	0	0	0
ENSG00000269709	0	0	0	0	0	0
ENSG00000223720	0	0	0	0	0	0
ENSG00000117834	0	0	1	0	0	1
ENSG00000272491	0	0	0	0	0	0
ENSG00000132122	3	9	3	8	4	5
ENSG00000224986	0	0	0	0	0	0
ENSG00000206700	0	0	0	0	0	0
ENSG00000235105	1	0	2	3	2	2
ENSG00000223175	0	0	0	0	0	0
ENSG00000232514	0	0	0	0	0	0
ENSG00000186094	0	2	1	1	2	1
ENSG00000162373	1	0	0	1	0	0
ENSG00000229846	1	0	0	0	0	0
ENSG00000239144	0	0	0	0	0	0
ENSG00000230114	0	0	0	0	0	0
ENSG00000225623	0	0	0	0	0	0
ENSG00000237478	0	0	0	0	0	0
ENSG00000215887	0	0	0	1	2	0
ENSG00000221746	0	0	0	0	0	0
ENSG00000227839	0	0	0	0	0	0
ENSG00000233595	0	0	0	0	0	0
ENSG00000162374	0	0	0	0	0	2
ENSG00000230828	0	0	0	0	0	1
ENSG00000237337	0	0	1	1	0	0
ENSG00000233407	0	0	0	0	0	0
ENSG00000234080	3	1	4	0	3	3
ENSG00000229316	0	0	0	0	0	0
ENSG00000225671	0	1	0	1	0	0
ENSG00000142700	0	0	0	0	0	0
ENSG00000271782	1	1	5	1	0	4
ENSG00000185104	2056	2112	1841	2294	2250	1997
ENSG00000225767	0	1	0	1	1	0
ENSG00000202140	0	0	0	0	0	0
ENSG00000207194	0	0	0	1	0	0
ENSG00000252825	0	0	0	0	0	0
ENSG00000230585	5	3	2	0	5	2
ENSG00000237130	0	0	0	0	0	0
ENSG00000123080	479	483	831	965	779	687
ENSG00000265538	0	0	0	0	0	0
ENSG00000204006	0	0	0	0	0	0
ENSG00000200262	0	0	0	0	0	0
ENSG00000213478	3	2	2	8	9	5
ENSG00000239101	0	0	0	0	0	0
ENSG00000221492	0	0	0	0	0	0
ENSG00000203356	0	1	0	1	0	2
ENSG00000238618	0	0	0	0	0	0
ENSG00000123091	2453	2648	2242	2632	2888	2282
ENSG00000233406	21	18	18	19	16	16
ENSG00000236434	1	0	2	0	0	0
ENSG00000085831	951	996	1041	1362	1137	937
ENSG00000261664	3	6	4	6	2	3
ENSG00000085832	2043	1953	1623	1777	2131	1708
ENSG00000232027	3	2	2	0	1	0
ENSG00000206595	0	0	0	0	0	0
ENSG00000238140	0	0	3	0	0	0
ENSG00000227070	17	23	11	13	18	14
ENSG00000252032	1	0	0	0	0	0
ENSG00000227742	1	3	2	2	3	8
ENSG00000117859	3525	3590	3485	4047	3904	3594
ENSG00000236973	0	1	0	2	1	2
ENSG00000232846	0	0	0	0	0	0
ENSG00000212624	0	0	1	0	0	0
ENSG00000078618	3806	4074	3798	4485	4439	3957
ENSG00000266993	4	4	10	7	11	9
ENSG00000272175	0	0	1	0	0	0
ENSG00000212076	0	0	0	0	0	0
ENSG00000230604	0	0	0	2	0	0
ENSG00000212174	0	0	0	0	0	0
ENSG00000265769	0	0	0	0	0	0
ENSG00000169213	4612	3190	3702	4810	5113	3365
ENSG00000200839	1	0	0	1	0	1
ENSG00000229032	0	1	0	0	0	0
ENSG00000264613	0	0	0	0	0	0
ENSG00000117862	2207	2194	2152	2736	2344	2139
ENSG00000198841	192	234	113	197	203	195
ENSG00000223390	0	0	0	0	1	0
ENSG00000228369	0	1	0	2	0	0
ENSG00000134717	1358	1331	1111	1314	1436	1278
ENSG00000157077	486	567	481	624	582	555
ENSG00000241745	0	0	0	0	0	0
ENSG00000228407	3	2	4	6	8	5
ENSG00000223429	0	0	0	0	0	0
ENSG00000224255	0	0	0	0	0	1
ENSG00000236004	0	0	0	0	0	0
ENSG00000237663	0	0	0	0	0	1
ENSG00000213735	2	0	0	2	1	0
ENSG00000154222	840	827	820	1020	1010	944
ENSG00000272100	1	1	2	0	0	2
ENSG00000224680	3	5	7	7	2	8
ENSG00000085840	802	892	958	1150	1024	1089
ENSG00000134748	1404	1620	1363	1614	1677	1574
ENSG00000134744	1108	1185	1114	1268	1279	1186
ENSG00000239063	0	1	0	0	0	0
ENSG00000272371	0	0	0	0	0	0
ENSG00000236290	0	0	0	0	0	1
ENSG00000116157	0	1	0	0	1	0
ENSG00000182183	1	0	0	0	0	0
ENSG00000162377	872	1110	444	618	922	851
ENSG00000233664	6	2	3	5	5	1
ENSG00000239640	0	0	0	0	0	0
ENSG00000162378	636	629	846	1110	790	786
ENSG00000252018	0	0	0	0	0	0
ENSG00000228929	51	50	50	43	34	47
ENSG00000206627	0	0	0	0	1	0
ENSG00000203995	1	0	1	1	3	1
ENSG00000242391	1	0	0	0	0	0
ENSG00000121310	464	492	574	627	630	549
ENSG00000230953	7	1	3	6	3	5
ENSG00000231866	0	0	0	0	0	0
ENSG00000116171	3121	3279	3588	4145	3744	3173
ENSG00000264834	0	0	0	1	0	0
ENSG00000266188	0	0	0	0	0	0
ENSG00000265815	0	0	0	0	0	0
ENSG00000237279	0	0	0	0	0	0
ENSG00000236360	0	1	0	1	2	0
ENSG00000226147	0	0	0	1	0	0
ENSG00000174348	0	0	0	0	0	0
ENSG00000232993	0	0	0	0	0	0
ENSG00000227644	0	0	0	0	0	0
ENSG00000162383	3	1	2	9	2	2
ENSG00000235563	0	1	1	0	3	0
ENSG00000157184	579	652	688	891	714	695
ENSG00000236723	0	0	0	0	0	0
ENSG00000162384	694	705	668	815	767	675
ENSG00000259818	0	1	0	0	1	2
ENSG00000162385	1057	1159	896	1077	1056	1033
ENSG00000226754	14	13	10	14	17	17
ENSG00000270172	203	167	44	66	153	97
ENSG00000157193	1157	1180	364	472	987	785
ENSG00000234578	0	0	0	0	0	0
ENSG00000228838	1	0	0	0	0	0
ENSG00000225030	1	5	0	0	0	0
ENSG00000232762	2	3	0	4	0	3
ENSG00000225675	7	11	5	6	8	7
ENSG00000226938	0	0	0	0	0	0
ENSG00000230138	0	0	0	0	0	1
ENSG00000236253	0	0	0	1	0	0
ENSG00000143006	0	0	0	0	0	1
ENSG00000174332	0	0	1	0	0	0
ENSG00000239007	0	0	0	0	0	0
ENSG00000058804	4051	4624	3422	4110	4497	4150
ENSG00000201003	1	0	0	1	0	1
ENSG00000264454	0	0	0	0	0	0
ENSG00000229687	0	0	0	0	0	0
ENSG00000058799	528	570	551	683	579	585
ENSG00000211452	1	3	0	1	1	1
ENSG00000081870	445	443	382	481	501	459
ENSG00000116212	1706	1750	1403	1794	1730	1586
ENSG00000219102	13	25	16	17	8	14
ENSG00000203985	1	1	4	1	0	0
ENSG00000197015	0	0	0	0	0	0
ENSG00000272091	14	23	25	35	38	18
ENSG00000116209	5357	5200	5755	6870	6696	5153
ENSG00000203276	3	4	4	4	7	2
ENSG00000116205	317	333	355	432	386	370
ENSG00000264208	0	0	0	0	0	0
ENSG00000225183	0	1	1	0	0	0
ENSG00000237611	13	15	18	17	13	23
ENSG00000212670	25	21	41	37	32	35
ENSG00000157211	0	0	1	0	0	0
ENSG00000256407	0	1	0	0	2	0
ENSG00000248835	137	144	161	147	159	190
ENSG00000215883	103	146	145	173	150	148
ENSG00000116221	3262	3665	3336	4161	3921	3801
ENSG00000157216	1982	2168	2164	2533	2438	2327
ENSG00000198711	4	2	1	3	6	2
ENSG00000225632	0	0	0	0	0	0
ENSG00000232245	0	0	0	0	0	0
ENSG00000265404	0	0	0	0	0	0
ENSG00000235741	0	0	0	0	0	0
ENSG00000237173	0	0	0	0	0	0
ENSG00000252646	0	0	0	0	0	0
ENSG00000227453	2	1	1	1	0	3
ENSG00000162390	806	781	755	951	899	852
ENSG00000162391	29	43	28	34	41	35
ENSG00000230728	0	0	0	0	0	0
ENSG00000271723	0	0	0	0	0	0
ENSG00000184313	0	2	1	1	1	1
ENSG00000243725	20	14	13	14	22	15
ENSG00000162396	227	248	250	340	308	245
ENSG00000006555	815	782	1198	1361	1221	1027
ENSG00000237453	0	1	5	0	0	1
ENSG00000162398	10	2	5	17	12	4
ENSG00000116133	16569	18265	14713	18091	18795	17464
ENSG00000242396	2	2	0	0	0	0
ENSG00000233203	7	11	6	8	4	5
ENSG00000143001	2	0	1	1	3	5
ENSG00000233271	0	0	0	0	0	0
ENSG00000162399	0	0	0	0	0	1
ENSG00000169174	4240	3566	3176	4133	5126	4448
ENSG00000162402	4229	4388	3968	4946	4655	3985
ENSG00000231090	0	0	0	0	0	0
ENSG00000231095	0	1	0	0	0	0
ENSG00000265822	0	0	0	0	0	0
ENSG00000231900	0	0	0	0	0	0
ENSG00000232198	0	0	0	0	0	0
ENSG00000199831	0	0	0	1	0	0
ENSG00000252162	0	0	0	0	0	0
ENSG00000272051	0	0	0	0	0	0
ENSG00000234810	0	0	1	0	1	0
ENSG00000233147	0	0	0	1	1	0
ENSG00000230250	0	0	0	1	0	0
ENSG00000227104	0	0	0	0	0	0
ENSG00000233079	0	0	0	0	0	0
ENSG00000235612	0	0	0	0	0	0
ENSG00000229871	0	0	1	0	0	0
ENSG00000260971	2	4	1	3	2	3
ENSG00000223307	0	0	0	0	0	0
ENSG00000223956	0	0	0	1	1	0
ENSG00000162407	60	73	113	135	89	77
ENSG00000236776	1	0	0	0	0	1
ENSG00000224980	0	1	0	0	0	0
ENSG00000225475	2	3	3	9	1	4
ENSG00000162409	3	1	1	2	4	0
ENSG00000187889	0	0	0	1	0	1
ENSG00000229913	0	0	0	0	0	0
ENSG00000157131	0	0	0	0	0	0
ENSG00000021852	1	0	0	2	0	1
ENSG00000236341	0	0	0	0	0	0
ENSG00000221591	0	0	0	0	0	0
ENSG00000173406	0	0	0	0	0	1
ENSG00000227935	0	0	0	0	0	0
ENSG00000236888	1	0	0	1	0	2
ENSG00000238773	0	0	0	0	0	0
ENSG00000226759	0	0	0	0	0	0
ENSG00000229887	1	0	0	1	1	2
ENSG00000223416	7	3	6	6	6	9
ENSG00000235038	0	0	0	0	0	0
ENSG00000230546	0	0	0	0	0	0
ENSG00000233216	0	0	0	0	0	0
ENSG00000162600	446	434	401	493	447	451
ENSG00000270209	0	0	0	0	0	0
ENSG00000264128	0	0	0	0	0	0
ENSG00000184292	2812	2524	2743	3443	3237	2497
ENSG00000185839	23	16	15	8	12	15
ENSG00000162601	792	744	665	799	883	748
ENSG00000222168	0	0	0	0	0	0
ENSG00000264081	0	0	0	0	0	0
ENSG00000177606	1155	893	1642	2364	1039	793
ENSG00000234807	4	1	1	1	1	2
ENSG00000272226	1	1	2	1	2	2
ENSG00000231740	0	0	0	0	0	0
ENSG00000232453	19	25	25	27	21	13
ENSG00000228121	0	2	0	2	2	0
ENSG00000230812	0	0	0	0	0	0
ENSG00000241042	0	0	0	0	0	0
ENSG00000235215	0	0	0	0	0	0
ENSG00000237352	0	0	0	0	0	0
ENSG00000224609	0	0	0	0	0	0
ENSG00000270457	0	2	2	0	0	0
ENSG00000172456	282	262	262	315	302	286
ENSG00000266150	0	0	0	0	0	0
ENSG00000226883	2	0	1	1	3	0
ENSG00000231816	0	1	1	0	1	0
ENSG00000134709	2794	2992	2728	3267	3506	2825
ENSG00000134716	290	346	256	291	335	352
ENSG00000265535	0	0	0	0	0	0
ENSG00000162598	0	0	0	0	0	0
ENSG00000229332	0	1	0	0	0	0
ENSG00000238242	0	0	0	0	0	0
ENSG00000226476	105	88	121	171	109	93
ENSG00000231252	0	0	0	0	0	0
ENSG00000162599	482	649	537	660	617	617
ENSG00000237928	0	0	0	0	0	1
ENSG00000263380	0	0	0	0	0	0
ENSG00000270742	0	0	0	0	0	0
ENSG00000237853	0	0	0	0	0	0
ENSG00000264551	0	0	0	0	0	0
ENSG00000223920	0	3	3	0	0	1
ENSG00000162604	469	426	405	466	498	422
ENSG00000271200	0	0	2	1	0	0
ENSG00000132849	3019	2793	2956	3662	3527	2701
ENSG00000200575	0	0	0	0	1	0
ENSG00000212360	0	0	0	0	0	0
ENSG00000236646	0	0	0	0	0	0
ENSG00000242860	0	0	0	0	0	0
ENSG00000263908	0	0	0	0	0	0
ENSG00000234204	0	0	0	0	0	0
ENSG00000234088	0	0	0	0	0	0
ENSG00000240563	0	0	0	2	0	1
ENSG00000237227	0	0	0	0	0	0
ENSG00000200174	0	0	0	0	0	0
ENSG00000132854	1	0	0	0	0	0
ENSG00000201153	0	0	0	0	0	0
ENSG00000162607	2491	2920	2206	2734	2897	2653
ENSG00000116641	2203	2192	1746	2173	2181	1770
ENSG00000270549	1	0	0	0	0	0
ENSG00000132855	0	0	0	0	1	1
ENSG00000269624	0	0	1	0	0	1
ENSG00000213703	0	0	0	0	1	0
ENSG00000235545	6	2	6	4	8	4
ENSG00000125703	220	242	309	346	292	246
ENSG00000234318	0	0	0	1	1	1
ENSG00000237163	0	0	0	0	0	0
ENSG00000229537	0	0	0	0	0	0
ENSG00000227485	0	0	0	0	0	0
ENSG00000229225	0	0	0	0	0	0
ENSG00000203605	0	0	0	0	0	0
ENSG00000271593	0	0	0	0	0	0
ENSG00000252259	0	0	0	0	0	0
ENSG00000224209	0	0	0	0	0	0
ENSG00000228734	0	0	0	0	0	0
ENSG00000223683	0	0	0	0	0	0
ENSG00000230798	0	0	0	0	0	0
ENSG00000187140	0	0	0	0	0	0
ENSG00000252784	0	0	0	0	0	0
ENSG00000236674	0	0	0	0	0	0
ENSG00000088035	352	412	316	354	394	397
ENSG00000142856	621	667	609	722	716	678
ENSG00000203965	103	114	105	135	122	96
ENSG00000264271	0	0	0	0	0	0
ENSG00000251720	0	0	0	0	1	0
ENSG00000116652	1	1	1	0	1	2
ENSG00000079739	3022	3039	3066	3776	3444	2865
ENSG00000244256	3	3	7	4	2	4
ENSG00000185483	328	332	178	197	271	253
ENSG00000177452	0	0	0	1	0	0
ENSG00000228056	0	0	1	2	0	0
ENSG00000207190	0	0	0	0	0	0
ENSG00000200508	0	0	0	0	0	0
ENSG00000223949	0	0	0	0	1	1
ENSG00000177414	1	0	0	0	0	0
ENSG00000238653	0	0	0	0	0	0
ENSG00000158966	3	4	0	4	3	2
ENSG00000264470	0	0	1	0	0	0
ENSG00000162437	321	383	464	523	473	349
ENSG00000162434	5212	5179	5487	6582	5788	4967
ENSG00000234784	0	0	0	0	0	0
ENSG00000233877	4	3	0	6	1	3
ENSG00000226891	1	1	1	1	0	1
ENSG00000185031	0	0	0	2	0	1
ENSG00000272506	0	0	0	0	0	0
ENSG00000212257	0	0	0	1	0	0
ENSG00000265996	0	0	0	0	1	1
ENSG00000199135	0	0	0	0	0	0
ENSG00000231485	1	1	1	0	0	0
ENSG00000235804	0	1	0	0	1	0
ENSG00000234496	1	1	0	1	0	0
ENSG00000162433	2394	2379	1981	2316	2783	2176
ENSG00000231622	0	0	0	0	1	0
ENSG00000116675	1	0	1	2	2	5
ENSG00000229294	0	0	0	0	0	0
ENSG00000234144	0	0	0	0	0	0
ENSG00000222624	0	0	0	0	0	0
ENSG00000116678	99	89	138	154	171	126
ENSG00000213625	1433	1468	1382	1605	1702	1432
ENSG00000237852	0	0	2	3	1	3
ENSG00000238931	0	0	0	0	0	0
ENSG00000224570	0	1	2	1	0	0
ENSG00000239319	0	0	0	0	0	0
ENSG00000184588	3	2	1	3	2	1
ENSG00000227466	0	0	0	0	0	0
ENSG00000223152	0	0	0	0	0	0
ENSG00000118473	0	0	0	0	1	0
ENSG00000264720	0	0	0	0	0	0
ENSG00000248458	0	0	0	0	0	0
ENSG00000221655	0	0	0	0	0	0
ENSG00000152760	0	0	0	1	0	0
ENSG00000172410	0	0	0	0	0	0
ENSG00000152763	33	43	32	50	60	60
ENSG00000231080	0	0	0	0	0	0
ENSG00000198160	1110	1232	1124	1262	1489	1131
ENSG00000116704	742	1008	907	1047	954	836
ENSG00000203963	0	0	1	0	0	1
ENSG00000252433	0	0	0	0	0	0
ENSG00000162594	7	5	7	7	3	12
ENSG00000253074	0	0	0	0	0	0
ENSG00000221733	0	0	0	0	0	0
ENSG00000252116	0	0	0	0	0	0
ENSG00000228523	0	2	0	0	0	0
ENSG00000081985	3	1	1	0	4	0
ENSG00000142864	14033	14845	11398	13689	16000	13376
ENSG00000223263	1	1	0	0	0	0
ENSG00000235200	0	0	0	0	0	0
ENSG00000207504	0	0	0	0	0	0
ENSG00000238139	0	0	0	0	0	0
ENSG00000242482	0	0	0	0	0	0
ENSG00000232048	0	0	0	0	0	0
ENSG00000116717	677	623	1117	1401	856	654
ENSG00000172380	8660	9524	8657	10155	10336	8285
ENSG00000238778	1	0	0	0	0	0
ENSG00000232284	29	34	41	47	34	29
ENSG00000235055	0	0	0	0	0	0
ENSG00000162595	2	2	3	0	1	1
ENSG00000228431	0	0	0	0	0	0
ENSG00000263542	0	0	0	0	0	0
ENSG00000116729	3839	3792	4113	5089	4643	4016
ENSG00000234383	5	10	5	5	6	6
ENSG00000221203	1	0	0	1	0	0
ENSG00000229133	26	33	29	15	21	25
ENSG00000225242	0	0	0	0	0	0
ENSG00000237622	0	0	0	0	1	0
ENSG00000229440	0	0	0	0	0	0
ENSG00000116745	188	187	115	152	167	109
ENSG00000024526	1165	1365	1306	1470	1352	1281
ENSG00000233589	22	15	14	25	22	13
ENSG00000234264	4	4	0	2	4	2
ENSG00000225167	0	0	0	0	0	0
ENSG00000223883	0	0	0	0	0	0
ENSG00000235446	5	5	2	9	3	8
ENSG00000229639	0	0	0	0	0	0
ENSG00000033122	7	3	4	9	7	3
ENSG00000270615	0	0	0	0	0	0
ENSG00000240692	0	0	0	0	0	0
ENSG00000229359	9	8	3	11	4	21
ENSG00000237919	1	1	0	1	1	0
ENSG00000066557	597	648	558	656	725	660
ENSG00000244389	0	0	0	0	0	0
ENSG00000116754	2923	2897	2722	2903	3365	3219
ENSG00000228988	0	0	0	0	0	1
ENSG00000118454	990	1174	765	905	1171	979
ENSG00000197568	270	222	216	234	235	199
ENSG00000226088	3	4	4	3	3	2
ENSG00000116761	523	618	415	561	531	451
ENSG00000271992	8	6	5	8	12	4
ENSG00000233020	0	0	0	0	0	0
ENSG00000237033	0	0	0	0	0	0
ENSG00000229051	0	0	0	0	0	0
ENSG00000226208	0	0	0	0	0	0
ENSG00000050628	0	0	2	2	3	1
ENSG00000235782	0	0	0	0	0	0
ENSG00000269933	0	0	0	0	0	0
ENSG00000235079	0	0	0	0	1	0
ENSG00000132485	1315	1384	1206	1338	1570	1317
ENSG00000207721	3	0	1	0	2	1
ENSG00000229956	6	8	13	13	15	9
ENSG00000264239	0	0	0	0	0	0
ENSG00000237726	1	0	0	0	0	0
ENSG00000226324	0	0	0	0	0	0
ENSG00000172260	0	2	1	0	0	1
ENSG00000231985	0	0	0	0	0	0
ENSG00000271618	0	0	0	0	0	0
ENSG00000228853	0	0	0	0	0	0
ENSG00000233994	6	6	8	7	5	3
ENSG00000227207	3	1	1	2	1	2
ENSG00000212366	0	0	0	0	0	0
ENSG00000225087	0	0	0	0	0	1
ENSG00000227016	0	0	0	0	0	0
ENSG00000229636	0	7	3	0	1	1
ENSG00000251825	0	0	0	0	0	0
ENSG00000233973	0	0	0	1	0	0
ENSG00000223479	0	0	0	0	0	0
ENSG00000200601	0	0	0	0	0	0
ENSG00000252005	0	0	0	0	0	0
ENSG00000162620	33	34	32	62	49	35
ENSG00000254685	258	292	319	354	378	262
ENSG00000259030	3	3	3	2	6	4
ENSG00000116783	0	0	0	0	0	0
ENSG00000237324	0	0	0	0	0	1
ENSG00000233894	0	0	0	0	0	0
ENSG00000162621	0	1	0	0	0	0
ENSG00000178965	0	0	0	0	0	2
ENSG00000234497	0	0	0	0	0	0
ENSG00000272864	1	1	0	1	0	0
ENSG00000116791	1720	1692	1838	2048	2078	1699
ENSG00000162623	646	747	546	665	755	660
ENSG00000229943	1	1	0	0	0	1
ENSG00000261213	0	0	0	0	0	0
ENSG00000224127	0	0	0	0	0	0
ENSG00000162624	0	0	0	0	0	1
ENSG00000224149	0	0	1	0	0	0
ENSG00000206999	0	0	0	0	0	0
ENSG00000137968	337	356	277	314	414	316
ENSG00000224493	0	0	0	0	0	0
ENSG00000252338	0	0	0	0	0	0
ENSG00000213579	6	3	6	5	2	8
ENSG00000230863	1	2	0	2	0	0
ENSG00000178193	1	0	0	0	0	0
ENSG00000117054	879	959	904	1086	1094	908
ENSG00000181227	5	9	3	7	2	5
ENSG00000137955	1458	1434	1093	1312	1397	1182
ENSG00000206620	0	0	0	0	0	0
ENSG00000207241	0	0	0	0	0	0
ENSG00000201487	0	0	0	0	0	0
ENSG00000057468	0	0	0	0	0	0
ENSG00000266832	0	0	0	0	0	0
ENSG00000154007	0	1	0	0	0	0
ENSG00000225605	0	0	0	0	0	0
ENSG00000230027	1	0	0	0	0	0
ENSG00000184005	0	0	0	1	1	0
ENSG00000223905	0	0	0	0	0	0
ENSG00000272855	0	0	0	0	0	0
ENSG00000226415	110	116	108	117	113	126
ENSG00000264686	0	0	0	0	0	0
ENSG00000199921	0	0	0	0	0	0
ENSG00000237552	0	0	0	0	0	0
ENSG00000117069	24	28	37	45	36	30
ENSG00000221720	1	0	0	0	0	0
ENSG00000230498	0	1	0	1	2	1
ENSG00000142892	813	935	813	954	990	856
ENSG00000226084	159	179	156	211	188	152
ENSG00000228187	1	0	1	0	0	1
ENSG00000154027	1	1	2	2	0	0
ENSG00000233099	0	0	0	0	0	0
ENSG00000221664	0	0	0	0	0	0
ENSG00000251767	0	0	0	0	0	0
ENSG00000036549	1832	2114	1636	1868	2078	1942
ENSG00000251785	0	0	0	0	0	0
ENSG00000243437	0	0	0	0	1	1
ENSG00000077254	1796	1885	1822	2103	2112	1916
ENSG00000232672	5	0	1	0	1	1
ENSG00000180488	1059	1065	1113	1268	1247	1000
ENSG00000222849	0	0	0	0	0	0
ENSG00000219201	11	18	12	18	13	15
ENSG00000235613	1	1	0	0	0	1
ENSG00000232015	2	1	1	1	2	3
ENSG00000235927	0	1	1	1	4	0
ENSG00000162614	2	0	5	3	4	2
ENSG00000162613	5626	5966	5032	5825	6331	5705
ENSG00000162616	162	170	232	310	241	185
ENSG00000137960	39	41	58	59	65	56
ENSG00000273338	0	0	0	0	0	0
ENSG00000213561	0	0	0	0	0	0
ENSG00000251958	0	0	0	0	0	0
ENSG00000213560	0	0	1	2	0	1
ENSG00000202263	0	0	0	0	0	0
ENSG00000233333	0	0	0	0	0	0
ENSG00000237413	1	0	0	0	0	0
ENSG00000122420	0	0	0	0	1	0
ENSG00000227556	0	0	0	1	0	0
ENSG00000212308	0	0	0	0	0	0
ENSG00000137959	5	1	1	3	3	4
ENSG00000137965	58	70	55	67	83	77
ENSG00000238015	1	0	0	0	0	0
ENSG00000221683	0	0	0	0	0	0
ENSG00000235400	2	2	1	2	0	1
ENSG00000162618	0	2	3	0	1	0
ENSG00000230787	3	7	5	0	2	1
ENSG00000266388	0	0	0	0	0	0
ENSG00000235011	0	0	0	0	0	0
ENSG00000232676	0	1	0	0	1	0
ENSG00000235756	0	0	0	0	0	0
ENSG00000260322	1	0	0	0	1	0
ENSG00000236407	0	0	0	0	0	0
ENSG00000266033	0	0	0	0	0	0
ENSG00000225598	0	0	0	0	0	0
ENSG00000213559	0	3	3	2	0	2
ENSG00000227062	0	0	0	0	0	0
ENSG00000234108	0	1	1	0	0	0
ENSG00000224326	0	0	0	0	0	0
ENSG00000234184	0	0	0	0	0	0
ENSG00000227937	0	0	0	0	1	0
ENSG00000229752	5	2	5	5	4	2
ENSG00000235089	0	0	0	0	0	0
ENSG00000223026	0	0	0	0	0	0
ENSG00000117114	3	2	2	6	2	7
ENSG00000224494	0	0	0	0	0	0
ENSG00000227288	2	1	1	1	3	0
